delivery_id,factory_id,project_id,date,priority_level,demand,distance_km,weather_index,traffic_index,predicted_delay_probability,priority_score,recommended_action
D339,F3,P79,2026-04-04,High,1,642.06,0.97,1.0,1.0,0.7816854263597391,Immediate action: allocate fastest route and backup resources
D973,F3,P135,2026-04-04,High,1,620.62,0.97,1.0,1.0,0.7805964160182044,Immediate action: allocate fastest route and backup resources
D696,F5,P109,2026-04-04,High,1,607.34,0.97,1.0,1.0,0.7799218797618805,Immediate action: allocate fastest route and backup resources
D285,F2,P160,2026-04-04,High,1,537.43,0.97,1.0,1.0,0.7763709136715496,Immediate action: allocate fastest route and backup resources
D581,F1,P172,2026-04-04,High,1,429.53,0.97,1.0,1.0,0.7708903065889189,Immediate action: allocate fastest route and backup resources
D119,F4,P89,2026-04-04,High,1,410.66,0.97,1.0,1.0,0.7699318352668685,Immediate action: allocate fastest route and backup resources
D363,F2,P88,2026-04-04,High,1,389.39,0.97,1.0,1.0,0.7688514598021089,Immediate action: allocate fastest route and backup resources
D458,F1,P132,2026-04-04,High,1,293.09,0.97,1.0,1.0,0.7639600560759057,Immediate action: allocate fastest route and backup resources
D254,F2,P34,2026-04-04,High,1,281.96,0.97,1.0,1.0,0.7633947256140922,Immediate action: allocate fastest route and backup resources
D257,F1,P161,2026-04-27,High,1,847.66,0.8,0.98,1.0,0.7622314197573209,Immediate action: allocate fastest route and backup resources
D1038,F4,P83,2026-04-04,High,1,209.96,0.97,1.0,1.0,0.7597376013328186,Immediate action: allocate fastest route and backup resources
D505,F5,P7,2026-04-27,High,1,746.53,0.8,0.98,1.0,0.7570946839439155,Immediate action: allocate fastest route and backup resources
D946,F1,P56,2026-04-27,High,1,700.76,0.8,0.98,1.0,0.7547698703556671,Immediate action: allocate fastest route and backup resources
D408,F4,P102,2026-04-27,High,1,695.22,0.8,0.98,1.0,0.7544884749595802,Immediate action: allocate fastest route and backup resources
D774,F3,P31,2026-04-04,High,1,69.42,0.97,1.0,1.0,0.752599097909344,Immediate action: allocate fastest route and backup resources
D883,F5,P11,2026-04-04,High,1,67.21,0.97,1.0,1.0,0.752486844511266,Immediate action: allocate fastest route and backup resources
D884,F4,P170,2026-04-08,High,1,798.88,0.84,0.87,1.0,0.7512024964536719,Immediate action: allocate fastest route and backup resources
D11,F1,P197,2026-04-04,High,1,18.25,0.97,1.0,1.0,0.75,Immediate action: allocate fastest route and backup resources
D100,F4,P48,2026-04-02,High,1,736.88,0.95,0.78,1.0,0.7496928260317719,Immediate action: allocate fastest route and backup resources
D446,F4,P37,2026-04-04,High,1,365.02,0.97,1.0,0.9651220435592468,0.7496733792712204,Immediate action: allocate fastest route and backup resources
D538,F4,P198,2026-04-27,High,1,590.5,0.8,0.98,1.0,0.7491693908660391,Immediate action: allocate fastest route and backup resources
D1044,F3,P49,2026-04-02,High,1,671.11,0.95,0.78,1.0,0.7463521445876141,Immediate action: allocate fastest route and backup resources
D437,F3,P153,2026-04-08,High,1,675.19,0.84,0.87,1.0,0.7449198616988009,Immediate action: allocate fastest route and backup resources
D763,F3,P56,2026-04-02,High,1,631.46,0.95,0.78,1.0,0.7443381865632739,Immediate action: allocate fastest route and backup resources
