delivery_id,factory_id,project_id,date,priority_level,predicted_delay_probability,predicted_delay_class,priority_score,delay_hours,reward_score,optimized_planning_score,recommended_action
D11,F1,P197,2026-04-04,High,1.0,1,0.75,0.38999999999999996,-15.78,1.395144890696492,Immediate action: allocate fastest route and backup resources
D774,F3,P31,2026-04-04,High,1.0,1,0.752599097909344,1.97,-18.939999999999998,1.3575813043150378,Immediate action: allocate fastest route and backup resources
D883,F5,P11,2026-04-04,High,1.0,1,0.752486844511266,1.97,-18.939999999999998,1.35746905091696,Immediate action: allocate fastest route and backup resources
D773,F3,P31,2026-04-08,High,1.0,1,0.7141507481450919,1.6500000000000001,-18.3,1.3272671690906943,Immediate action: allocate fastest route and backup resources
D378,F5,P188,2026-04-02,High,1.0,1,0.7161356631475199,1.7700000000000002,-18.54,1.3262017536406567,Immediate action: allocate fastest route and backup resources
D202,F1,P160,2026-04-13,High,1.0,1,0.6764630101699911,0.8900000000000001,-16.78,1.3088981906478763,Immediate action: allocate fastest route and backup resources
D737,F5,P79,2026-04-27,High,1.0,1,0.7276675318278628,3.1800000000000006,-21.36,1.3018922395045278,Immediate action: allocate fastest route and backup resources
D858,F5,P4,2026-04-15,High,1.0,1,0.6842328052521578,1.56,-18.12,1.2996369740371094,Immediate action: allocate fastest route and backup resources
D684,F1,P160,2026-04-06,High,1.0,1,0.65905516619228,1.0299999999999998,-17.06,1.287931627808955,Immediate action: allocate fastest route and backup resources
D200,F5,P188,2026-04-23,High,1.0,1,0.6779123455307174,1.7900000000000003,-18.58,1.28747004761511,Immediate action: allocate fastest route and backup resources
D979,F5,P4,2026-04-06,High,1.0,1,0.6607008721188531,1.13,-17.259999999999998,1.287035391691807,Immediate action: allocate fastest route and backup resources
D364,F4,P37,2026-04-25,High,0.352345799686833,0,0.28473559324552744,1.4299999999999997,12.14,1.2847355932455273,Priority project: schedule early
D1038,F4,P83,2026-04-04,High,1.0,1,0.7597376013328186,5.15,-25.3,1.283886050748172,Immediate action: allocate fastest route and backup resources
D680,F5,P188,2026-04-06,High,1.0,1,0.6597972576610218,1.3300000000000003,-17.66,1.2810478931465328,Immediate action: allocate fastest route and backup resources
D787,F5,P4,2026-04-06,High,1.0,1,0.6607008721188531,1.4699999999999998,-17.939999999999998,1.278392788743154,Immediate action: allocate fastest route and backup resources
D242,F5,P144,2026-04-04,Medium,1.0,1,0.6270840529063979,1.7400000000000002,-15.48,1.276041856668472,High risk: prioritize dispatch and monitor closely
D165,F1,P197,2026-04-14,High,1.0,1,0.6280325760822975,0.31,-15.62,1.2752110204137668,Immediate action: allocate fastest route and backup resources
D913,F4,P153,2026-04-08,High,1.0,1,0.7217824554126105,4.049999999999999,-23.099999999999998,1.2738922673088995,Immediate action: allocate fastest route and backup resources
D350,F1,P197,2026-04-18,High,1.0,1,0.6226157308186884,0.14999999999999997,-15.3,1.2738612824201119,Immediate action: allocate fastest route and backup resources
D955,F5,P79,2026-04-07,High,1.0,1,0.7092309694618104,3.6900000000000004,-22.380000000000003,1.2704917727154963,Immediate action: allocate fastest route and backup resources
D905,F3,P174,2026-04-27,Medium,1.0,1,0.596515436092476,0.8200000000000001,-13.64,1.2688591066567871,High risk: prioritize dispatch and monitor closely
D1120,F3,P48,2026-04-17,High,1.0,1,0.623707087823679,0.4,-15.8,1.268597784315799,Immediate action: allocate fastest route and backup resources
D1029,F4,P17,2026-04-15,High,0.997530959752322,1,0.6837297802183641,2.77,-20.54,1.2683764502742867,Immediate action: allocate fastest route and backup resources
D650,F5,P188,2026-04-26,High,1.0,1,0.6345132885225735,0.9000000000000001,-16.8,1.2666942747960865,Immediate action: allocate fastest route and backup resources
D978,F5,P4,2026-04-09,High,1.0,1,0.6559912707472285,1.9499999999999997,-18.9,1.2614818655616666,Immediate action: allocate fastest route and backup resources
D1064,F1,P197,2026-04-03,High,1.0,1,0.6105282897556794,0.16999999999999998,-15.34,1.2612654529483587,Immediate action: allocate fastest route and backup resources
D150,F5,P11,2026-04-17,High,1.0,1,0.6258901878460281,0.8299999999999998,-16.66,1.259850533550146,Immediate action: allocate fastest route and backup resources
D1176,F1,P197,2026-04-24,High,1.0,1,0.609515645092156,0.22000000000000003,-15.44,1.2589818372629744,Immediate action: allocate fastest route and backup resources
D1163,F2,P198,2026-04-12,High,1.0,1,0.6159788251032348,0.49,-15.98,1.2585817737560054,Immediate action: allocate fastest route and backup resources
